series_id,geo_id,geo_name,ref_date,value,unit
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-01-01,286199.53,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-02-01,280058.37,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-03-01,287003.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-04-01,290812.33,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-05-01,294721.53,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-06-01,314620.56,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-07-01,315321.51,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-08-01,327007.83,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-09-01,325507.86,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-10-01,326058.46,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-11-01,327010.65,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2012-12-01,361897.34,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-01-01,326828.94,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-02-01,321483.32,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-03-01,331168.76,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-04-01,324333.2,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-05-01,334033.38,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-06-01,347146.05,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-07-01,383931.57,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-08-01,359417.43,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-09-01,360078.55,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-10-01,363797.12,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-11-01,375779.94,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2013-12-01,399608.66,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-01-01,380070.16,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-02-01,367651.74,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-03-01,377437.65,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-04-01,372341.57,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-05-01,380473.75,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-06-01,381637.54,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-07-01,452787.99,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-08-01,399270.22,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-09-01,395229.5,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-10-01,396112.97,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-11-01,405694.05,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2014-12-01,419261.84,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-01-01,391255.5,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-02-01,387889.277891628,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-03-01,382004.9236921381,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-04-01,395686.643659486,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-05-01,406498.9535719209,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-06-01,409713.06190515,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-07-01,431459.9,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-08-01,423101.3070892083,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-09-01,428860.24,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-10-01,435065.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-11-01,437756.2,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2015-12-01,469534.22000000003,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-01-01,439871.75,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-02-01,422149.44,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-03-01,420213.6,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-04-01,435295.81,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-05-01,440659.81,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-06-01,511294.54,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-07-01,474245.9,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-08-01,466501.59,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-09-01,469541.7,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-10-01,467318.21,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-11-01,476850.39,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2016-12-01,508123.74,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-01-01,470250.25,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-02-01,462412.91,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-03-01,468941.88,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-04-01,483042.03,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-05-01,485123.85,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-06-01,561820.83,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-07-01,517809.72,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-08-01,527097.79,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-09-01,523359.53,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-10-01,519861.42,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-11-01,537297.62,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2017-12-01,586576.33,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-01-01,532131.48,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-02-01,531209.28,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-03-01,549216.35,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-04-01,549587.19,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-05-01,580625.14,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-06-01,605972.86,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-07-01,583305.87,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-08-01,587788.32,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-09-01,590804.87,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-10-01,581591.77,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-11-01,586235.77,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2018-12-01,625370.48,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-01-01,579293.62,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-02-01,570435.03,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-03-01,585579.41,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-04-01,592935.41,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-05-01,675635.19,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-06-01,625354.1,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-07-01,619652.4,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-08-01,622452.15,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-09-01,614230.66,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-10-01,611081.3,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-11-01,622383.57,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-12-01,654683.31,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-01-01,616226.76,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-02-01,607961.8,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-03-01,620399.67,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-04-01,634191.76,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-05-01,684962.67,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-06-01,651792.19,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-07-01,668184.78,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-08-01,666739.26,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-09-01,674412.32,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-10-01,707830.54,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-11-01,712556.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-12-01,760112.42,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-01-01,712529.24,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-02-01,698226.62,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-03-01,692478.03,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-04-01,732643.55,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-05-01,743534.2,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-06-01,739006.37,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-07-01,758702.97,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-08-01,750510.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-09-01,748616.24,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-10-01,766703.91,IDR billion
