series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-01-01,M,monthly,105.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-02-01,M,monthly,98.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-03-01,M,monthly,100.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-04-01,M,monthly,92.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-05-01,M,monthly,101.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-06-01,M,monthly,104.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-07-01,M,monthly,101.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-08-01,M,monthly,101.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-09-01,M,monthly,106.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-10-01,M,monthly,108.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-11-01,M,monthly,114.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2012-12-01,M,monthly,110.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-01-01,M,monthly,103.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-02-01,M,monthly,108.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-03-01,M,monthly,108.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-04-01,M,monthly,100.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-05-01,M,monthly,103.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-06-01,M,monthly,109.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-07-01,M,monthly,106.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-08-01,M,monthly,105.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-09-01,M,monthly,104.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-10-01,M,monthly,103.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-11-01,M,monthly,105.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2013-12-01,M,monthly,108.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-01-01,M,monthly,110.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-02-01,M,monthly,111.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-03-01,M,monthly,110.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-04-01,M,monthly,106.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-05-01,M,monthly,109.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-06-01,M,monthly,108.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-07-01,M,monthly,112.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-08-01,M,monthly,110.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-09-01,M,monthly,112.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-10-01,M,monthly,111.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-11-01,M,monthly,110.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2014-12-01,M,monthly,106.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-01-01,M,monthly,108.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-02-01,M,monthly,110.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-03-01,M,monthly,104.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-04-01,M,monthly,94.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-05-01,M,monthly,98.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-06-01,M,monthly,94.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-07-01,M,monthly,97.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-08-01,M,monthly,97.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-09-01,M,monthly,86.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-10-01,M,monthly,88.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-11-01,M,monthly,91.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2015-12-01,M,monthly,91.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-01-01,M,monthly,93.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-02-01,M,monthly,94.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-03-01,M,monthly,95.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-04-01,M,monthly,93.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-05-01,M,monthly,94.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-06-01,M,monthly,96.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-07-01,M,monthly,98.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-08-01,M,monthly,95.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-09-01,M,monthly,92.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-10-01,M,monthly,101.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-11-01,M,monthly,103.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-12-01,M,monthly,102.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-01-01,M,monthly,105.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-02-01,M,monthly,106.9,index
