series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-01-01,M,monthly,14981.6047,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-02-01,M,monthly,17287.8572,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-03-01,M,monthly,13667.4152,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-04-01,M,monthly,13459.6742,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-05-01,M,monthly,13507.5038,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-06-01,M,monthly,15944.5056,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-07-01,M,monthly,14305.472,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-08-01,M,monthly,14365.6619,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-09-01,M,monthly,14835.2858,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-10-01,M,monthly,15617.3136,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-11-01,M,monthly,15504.6821,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2025-12-01,M,monthly,17105.2583,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-01-01,M,monthly,16258.2724,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-02-01,M,monthly,16015.3634,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-03-01,M,monthly,16200.3515,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-04-01,M,monthly,15540.6459,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-05-01,M,monthly,20437.0083,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-06-01,M,monthly,16398.973,IDR billion
bi_seki.deposits_by_owner.cooperatives,0000,Indonesia (national),2026-07-01,M,monthly,16533.5125,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-01-01,M,monthly,233594.5577,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-02-01,M,monthly,234840.8322,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-03-01,M,monthly,227799.3744,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-04-01,M,monthly,231810.8357,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-05-01,M,monthly,231750.7463,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-06-01,M,monthly,239493.2303,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-07-01,M,monthly,238083.5477,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-08-01,M,monthly,254526.4432,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-09-01,M,monthly,254894.554,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-10-01,M,monthly,243756.9753,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-11-01,M,monthly,237422.404,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2025-12-01,M,monthly,235051.4884,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-01-01,M,monthly,257378.3072,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-02-01,M,monthly,249036.1146,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-03-01,M,monthly,254563.1802,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-04-01,M,monthly,249552.4256,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-05-01,M,monthly,249502.5154,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-06-01,M,monthly,263373.7394,IDR billion
bi_seki.deposits_by_owner.foundations_and_social_bodies,0000,Indonesia (national),2026-07-01,M,monthly,275680.0813,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-01-01,M,monthly,4012324.268,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-02-01,M,monthly,4034853.9622,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-03-01,M,monthly,4115851.6643,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-04-01,M,monthly,4082517.7843,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-05-01,M,monthly,4059527.0649,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-06-01,M,monthly,4122818.8854,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-07-01,M,monthly,4127987.3443,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-08-01,M,monthly,4087382.4734,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-09-01,M,monthly,4112878.3767,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-10-01,M,monthly,4115851.1364,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-11-01,M,monthly,4132795.0067,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2025-12-01,M,monthly,4189256.8435,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-01-01,M,monthly,4142144.5614,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-02-01,M,monthly,4131298.7725,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-03-01,M,monthly,4215718.9854,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-04-01,M,monthly,4209483.2118,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-05-01,M,monthly,4203153.4272,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-06-01,M,monthly,4236599.6332,IDR billion
bi_seki.deposits_by_owner.households,0000,Indonesia (national),2026-07-01,M,monthly,4242035.7437,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-01-01,M,monthly,150729.3813,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-02-01,M,monthly,166109.1215,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-03-01,M,monthly,157364.5841,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-04-01,M,monthly,192477.8534,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-05-01,M,monthly,216976.8227,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-06-01,M,monthly,209350.5567,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-07-01,M,monthly,228278.8886,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-08-01,M,monthly,254566.7863,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-09-01,M,monthly,265107.5904,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-10-01,M,monthly,255229.689,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-11-01,M,monthly,233421.4369,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2025-12-01,M,monthly,102183.7352,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-01-01,M,monthly,167204.3819,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-02-01,M,monthly,186194.7603,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-03-01,M,monthly,172886.0876,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-04-01,M,monthly,190707.2305,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-05-01,M,monthly,208701.8455,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-06-01,M,monthly,242564.4936,IDR billion
bi_seki.deposits_by_owner.local_government,0000,Indonesia (national),2026-07-01,M,monthly,218395.8089,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-01-01,M,monthly,652734.2159,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-02-01,M,monthly,695202.6538,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-03-01,M,monthly,687985.7104,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-04-01,M,monthly,676389.3341,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-05-01,M,monthly,680431.4002,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-06-01,M,monthly,723167.3798,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-07-01,M,monthly,729404.5556,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-08-01,M,monthly,793386.6473,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-09-01,M,monthly,762721.9232,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-10-01,M,monthly,781565.2158,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-11-01,M,monthly,780900.8301,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2025-12-01,M,monthly,818192.2724,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-01-01,M,monthly,814599.9368,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-02-01,M,monthly,786183.5718,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-03-01,M,monthly,845505.1162,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-04-01,M,monthly,850893.1509,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-05-01,M,monthly,892448.6166,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-06-01,M,monthly,857655.2769,IDR billion
bi_seki.deposits_by_owner.other_financial_institutions,0000,Indonesia (national),2026-07-01,M,monthly,855407.3137,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-01-01,M,monthly,4265794.5872,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-02-01,M,monthly,4291841.9425,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-03-01,M,monthly,4362150.3258,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-04-01,M,monthly,4332583.0106,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-05-01,M,monthly,4309515.0932,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-06-01,M,monthly,4382882.5659,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-07-01,M,monthly,4384999.2034,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-08-01,M,monthly,4360936.1277,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-09-01,M,monthly,4387108.8263,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-10-01,M,monthly,4379872.5798,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-11-01,M,monthly,4390640.6397,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2025-12-01,M,monthly,4445952.2138,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2026-01-01,M,monthly,4419547.427,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2026-02-01,M,monthly,4400381.8242,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2026-03-01,M,monthly,4491029.235,IDR billion
bi_seki.deposits_by_owner.other_private_sector,0000,Indonesia (national),2026-04-01,M,monthly,4479154.8165,IDR billion
