series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
ecommerce_gmv.shopee,0000,Indonesia (national),2023-07-01,M,monthly,109.72,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2023-08-01,M,monthly,104.22,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2023-09-01,M,monthly,126.61,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2023-10-01,M,monthly,139.82,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2023-11-01,M,monthly,158.9,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2023-12-01,M,monthly,172.11,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-01-01,M,monthly,167.34,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-02-01,M,monthly,163.67,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-03-01,M,monthly,219.45,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-04-01,M,monthly,186.42,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-05-01,M,monthly,271.56,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-06-01,M,monthly,227.52,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-07-01,M,monthly,211.38,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-08-01,M,monthly,208.81,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-09-01,M,monthly,216.15,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-10-01,M,monthly,419.08,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-11-01,M,monthly,317.06,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2024-12-01,M,monthly,294.31,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-01-01,M,monthly,257.98,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-02-01,M,monthly,217.98,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-03-01,M,monthly,266.42,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-04-01,M,monthly,206.24,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-05-01,M,monthly,257.25,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-06-01,M,monthly,253.94,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-07-01,M,monthly,293.21,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-08-01,M,monthly,328.81,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-09-01,M,monthly,339.45,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-10-01,M,monthly,404.04,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-11-01,M,monthly,352.66,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2025-12-01,M,monthly,388.26,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2026-01-01,M,monthly,237.8,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2026-02-01,M,monthly,233.03,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2026-03-01,M,monthly,243.67,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2026-04-01,M,monthly,253.94,USD million
ecommerce_gmv.shopee,0000,Indonesia (national),2026-05-01,M,monthly,263.85,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-06-01,M,monthly,1.14,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-07-01,M,monthly,1.67,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-08-01,M,monthly,1.49,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-09-01,M,monthly,1.69,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-10-01,M,monthly,1.6,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-11-01,M,monthly,1.45,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2024-12-01,M,monthly,7.12,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-01-01,M,monthly,7.69,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-02-01,M,monthly,8.51,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-03-01,M,monthly,13.49,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-04-01,M,monthly,12.11,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-05-01,M,monthly,13.74,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-06-01,M,monthly,9.5,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-07-01,M,monthly,8.61,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-08-01,M,monthly,9.03,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-09-01,M,monthly,18.84,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-10-01,M,monthly,24.02,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-11-01,M,monthly,25.98,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2025-12-01,M,monthly,30.75,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2026-01-01,M,monthly,26.5,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2026-02-01,M,monthly,29.05,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2026-03-01,M,monthly,29.05,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2026-04-01,M,monthly,23.54,USD million
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2026-05-01,M,monthly,25.83,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-07-01,M,monthly,38.28,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-08-01,M,monthly,38.94,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-09-01,M,monthly,38.94,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-10-01,M,monthly,38.17,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-11-01,M,monthly,36.55,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-12-01,M,monthly,40.95,USD million
