page,position,grade,title,year_build,price_raw,price_idr,listed_raw,listed_left,listed_right,sold,sold_label,url,image,scraped_at_utc,card_text
1,1,Grade C,DAIHATSU GRAN MAX PU STD 1.5 (2019 - MT),2019 | MT | BG8559OG,Rp 68.000.000,68000000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/daihatsu-gran-max-pu-std-1-5--2019---mt-/625421912967?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/vehicles/254219/acv/images/kiri-depan-photo.webp,2026-08-17T05:18:14,Lot 1 Grade C DAIHATSU GRAN MAX PU STD 1.5 (2019 - MT) 2019 | MT | BG8559OG Rp 68.000.000 18 Agt 2026 LAMPUNG LIVE
1,1,Grade C,DAIHATSU GRAN MAX PU STD 1.5 (2019 - MT),2019 | MT | BG8559OG,Rp 68.000.000,68000000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/daihatsu-gran-max-pu-std-1-5--2019---mt-/625421913257?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 1 Grade C DAIHATSU GRAN MAX PU STD 1.5 (2019 - MT) 2019 | MT | BG8559OG Rp 68.000.000 15 Sep 2026 LAMPUNG LIVE
1,2,Grade C,HYUNDAI H-1 - 2.4 (2016 - AT),2016 | AT | A1640TF,Rp 155.500.000,155500000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/hyundai-h-1---2-4--2016---at-/628201813176?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/vehicles/282018/019ed4de-926a-719b-a6be-120cb32d6c89/acv/images/kiri-depan-photo.webp,2026-08-17T05:18:14,Lot 1 Grade C HYUNDAI H-1 - 2.4 (2016 - AT) 2016 | AT | A1640TF Rp 155.500.000 18 Agt 2026 PONTIANAK LIVE
1,2,Grade C,HONDA HR-V E 1.5 (2018 - AT),2018 | AT | DD1751XBH,Rp 172.000.000,172000000,16 Sep 2026,16 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/honda-hr-v-e-1-5--2018---at-/629283313271?entry_point=Product Listing,,2026-09-15T06:51:05,"Lot 1 Grade C HONDA HR-V E 1.5 (2018 - AT) 2018 | AT | DD1751XBH Rp 172.000.000 *Terdapat Biaya PMK41 (1,1%) 16 Sep 2026 MAKASSAR LIVE"
1,3,Grade C,HYUNDAI H-1 - 2.4 (2016 - AT),2016 | AT | A1640TF,Rp 155.500.000,155500000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/hyundai-h-1---2-4--2016---at-/628201813483?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 1 Grade C HYUNDAI H-1 - 2.4 (2016 - AT) 2016 | AT | A1640TF Rp 155.500.000 15 Sep 2026 PONTIANAK LIVE
1,3,Grade -,DAIHATSU GRAN MAX PU STD 1.5 (2015 - MT),2015 | MT | BD9075AR,Rp 80.340.000,80340000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/daihatsu-gran-max-pu-std-1-5--2015---mt-/628533612967?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/vehicles/285336/non-acv/images/eksterior-kiri-depan-1786424638.webp,2026-08-17T05:18:14,Lot 2 Grade - DAIHATSU GRAN MAX PU STD 1.5 (2015 - MT) 2015 | MT | BD9075AR Rp 80.340.000 18 Agt 2026 LAMPUNG LIVE
1,4,Grade C,HYUNDAI SANTA FE CRDI 2.2 (2018 - AT),2018 | AT | B1031SJZ,Rp 245.500.000,245500000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/hyundai-santa-fe-crdi-2-2--2018---at-/628543213176?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/vehicles/285432/019f4a42-3acb-7318-a5e4-1d5148777b50/acv/images/kiri-depan-photo.webp,2026-08-17T05:18:14,Lot 2 Grade C HYUNDAI SANTA FE CRDI 2.2 (2018 - AT) 2018 | AT | B1031SJZ Rp 245.500.000 18 Agt 2026 PONTIANAK LIVE
1,4,Grade D,DAIHATSU AYLA R 1.2 (2019 - MT),2019 | MT | B2914TIB,Rp 75.000.000,75000000,16 Sep 2026,16 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/daihatsu-ayla-r-1-2--2019---mt-/629279413475?entry_point=Product Listing,,2026-09-15T06:51:05,"Lot 1 Grade D DAIHATSU AYLA R 1.2 (2019 - MT) 2019 | MT | B2914TIB Rp 75.000.000 *Terdapat Biaya PMK41 (1,1%) 16 Sep 2026 PEKANBARU LIVE"
1,5,Grade -,DAIHATSU GRAN MAX PU STD 1.5 (2015 - MT),2015 | MT | BD9907AQ,Rp 80.340.000,80340000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/daihatsu-gran-max-pu-std-1-5--2015---mt-/628533412967?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/vehicles/285334/non-acv/images/eksterior-kiri-depan-1786424758.webp,2026-08-17T05:18:14,Lot 3 Grade - DAIHATSU GRAN MAX PU STD 1.5 (2015 - MT) 2015 | MT | BD9907AQ Rp 80.340.000 18 Agt 2026 LAMPUNG LIVE
1,5,Grade B,TOYOTA AVANZA G 1.5 (2022 - MT),2022 | MT | H1184FV,Rp 176.500.000,176500000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/toyota-avanza-g-1-5--2022---mt-/628761113428?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 1 Grade B TOYOTA AVANZA G 1.5 (2022 - MT) 2022 | MT | H1184FV Rp 176.500.000 15 Sep 2026 SEMARANG LIVE
1,6,Grade -,DAIHATSU GRAN MAX PU STD 1.5 (2015 - MT),2015 | MT | BD9075AR,Rp 80.340.000,80340000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/mobil/daihatsu-gran-max-pu-std-1-5--2015---mt-/628533613257?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 2 Grade - DAIHATSU GRAN MAX PU STD 1.5 (2015 - MT) 2015 | MT | BD9075AR Rp 80.340.000 15 Sep 2026 LAMPUNG LIVE
