page,position,grade,title,year_build,price_raw,price_idr,listed_raw,listed_left,listed_right,sold,sold_label,url,image,scraped_at_utc,card_text
1,1,Grade -,HONDA BEAT - 110 (2019 - AT),2019 | AT | B3753PIC,Rp 6.700.000,6700000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2019---at-/722340913165?entry_point=Product Listing,https://images.ibid.astra.co.id/taksasi-image/3c3fff4285807409d2073c6f1a8c37b8.jpeg,2026-08-17T05:43:59,Lot 1 Grade - HONDA BEAT - 110 (2019 - AT) 2019 | AT | B3753PIC Rp 6.700.000 18 Agt 2026 BANJARMASIN LIVE
1,1,Grade C,HONDA SONIC - 150 (2015 - MT),2015 | MT | BG4589AAW,Rp 7.000.000,7000000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-sonic---150--2015---mt-/724977413254?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 1 Grade C HONDA SONIC - 150 (2015 - MT) 2015 | MT | BG4589AAW Rp 7.000.000 15 Sep 2026 LAMPUNG LIVE
1,2,Grade C,HONDA SONIC - 150 (2015 - MT),2015 | MT | BG4589AAW,Rp 7.000.000,7000000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-sonic---150--2015---mt-/724977412969?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/two-wheels/249774/imv/images/Bagian Depan Motor.webp,2026-08-17T05:43:59,Lot 1 Grade C HONDA SONIC - 150 (2015 - MT) 2015 | MT | BG4589AAW Rp 7.000.000 18 Agt 2026 LAMPUNG LIVE
1,2,Grade -,HONDA BEAT - 110 (2019 - AT),2019 | AT | B3795PID,Rp 6.800.000,6800000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2019---at-/728208313429?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 1 Grade - HONDA BEAT - 110 (2019 - AT) 2019 | AT | B3795PID Rp 6.800.000 15 Sep 2026 SEMARANG LIVE
1,3,Grade -,HONDA BEAT - 110 (2019 - AT),2019 | AT | B3749PIC,Rp 6.700.000,6700000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2019---at-/722341313165?entry_point=Product Listing,https://images.ibid.astra.co.id/taksasi-image/2b9aecd73c28e58f63c7784efd68d199.jpeg,2026-08-17T05:43:59,Lot 2 Grade - HONDA BEAT - 110 (2019 - AT) 2019 | AT | B3749PIC Rp 6.700.000 18 Agt 2026 BANJARMASIN LIVE
1,3,Grade B,HONDA BEAT - 110 (2021 - AT),2021 | AT | B3868PJU,Rp 10.400.000,10400000,16 Sep 2026,16 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2021---at-/728259513492?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 1 Grade B HONDA BEAT - 110 (2021 - AT) 2021 | AT | B3868PJU Rp 10.400.000 16 Sep 2026 SURABAYA LIVE
1,4,Grade C,HONDA SUPRA GTR - 150 (2016 - MT),2016 | MT | BG5701ABD,Rp 8.500.000,8500000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-supra-gtr---150--2016---mt-/724977312969?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/two-wheels/249773/imv/images/Bagian Depan Motor.webp,2026-08-17T05:43:59,Lot 2 Grade C HONDA SUPRA GTR - 150 (2016 - MT) 2016 | MT | BG5701ABD Rp 8.500.000 18 Agt 2026 LAMPUNG LIVE
1,4,Grade C,HONDA SUPRA GTR - 150 (2016 - MT),2016 | MT | BG5701ABD,Rp 8.500.000,8500000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-supra-gtr---150--2016---mt-/724977313254?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 2 Grade C HONDA SUPRA GTR - 150 (2016 - MT) 2016 | MT | BG5701ABD Rp 8.500.000 15 Sep 2026 LAMPUNG LIVE
1,5,Grade -,HONDA BEAT - 110 (2019 - AT),2019 | AT | B3557PIC,Rp 6.300.000,6300000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2019---at-/722342113165?entry_point=Product Listing,https://images.ibid.astra.co.id/taksasi-image/b8e196f2b7230a82d24adb6699a46297.jpeg,2026-08-17T05:43:59,Lot 3 Grade - HONDA BEAT - 110 (2019 - AT) 2019 | AT | B3557PIC Rp 6.300.000 18 Agt 2026 BANJARMASIN LIVE
1,5,Grade -,HONDA BEAT - 110 (2019 - AT),2019 | AT | B3894PID,Rp 6.800.000,6800000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2019---at-/728208213429?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 2 Grade - HONDA BEAT - 110 (2019 - AT) 2019 | AT | B3894PID Rp 6.800.000 15 Sep 2026 SEMARANG LIVE
1,6,Grade C,HONDA CB R 150 (2015 - MT),2015 | MT | BG5269AAW,Rp 10.000.000,10000000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-cb-r-150--2015---mt-/724976912969?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/two-wheels/249769/imv/images/Bagian Depan Motor.webp,2026-08-17T05:43:59,Lot 3 Grade C HONDA CB R 150 (2015 - MT) 2015 | MT | BG5269AAW Rp 10.000.000 18 Agt 2026 LAMPUNG LIVE
1,6,Grade C,HONDA BEAT - 110 (2021 - AT),2021 | AT | B3173PJV,Rp 10.400.000,10400000,16 Sep 2026,16 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2021---at-/728259613492?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 2 Grade C HONDA BEAT - 110 (2021 - AT) 2021 | AT | B3173PJV Rp 10.400.000 16 Sep 2026 SURABAYA LIVE
1,7,Grade -,HONDA VERZA - 150 (2018 - MT),2018 | MT | B3559PFG,Rp 6.200.000,6200000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-verza---150--2018---mt-/724844813165?entry_point=Product Listing,https://images.ibid.astra.co.id/taksasi-image/d3a4deae7c695b2d6a0a2b32b494b025.jpeg,2026-08-17T05:43:59,Lot 4 Grade - HONDA VERZA - 150 (2018 - MT) 2018 | MT | B3559PFG Rp 6.200.000 18 Agt 2026 BANJARMASIN LIVE
1,7,Grade C,HONDA CB R 150 (2015 - MT),2015 | MT | BG5269AAW,Rp 10.000.000,10000000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-cb-r-150--2015---mt-/724976913254?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 3 Grade C HONDA CB R 150 (2015 - MT) 2015 | MT | BG5269AAW Rp 10.000.000 15 Sep 2026 LAMPUNG LIVE
1,8,Grade D,HONDA SONIC - 150 (2015 - MT),2015 | MT | BG2304AAY,Rp 8.970.000,8970000,18 Agt 2026,18 Agt 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-sonic---150--2015---mt-/724977112969?entry_point=Product Listing,https://images.ibid.astra.co.id/ibid/two-wheels/249771/imv/images/Bagian Depan Motor.webp,2026-08-17T05:43:59,Lot 4 Grade D HONDA SONIC - 150 (2015 - MT) 2015 | MT | BG2304AAY Rp 8.970.000 18 Agt 2026 LAMPUNG LIVE
1,8,Grade -,HONDA BEAT - 110 (2021 - AT),2021 | AT | B3801PJU,Rp 9.600.000,9600000,16 Sep 2026,16 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-beat---110--2021---at-/726704313492?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 3 Grade - HONDA BEAT - 110 (2021 - AT) 2021 | AT | B3801PJU Rp 9.600.000 16 Sep 2026 SURABAYA LIVE
1,9,Grade D,HONDA SONIC - 150 (2015 - MT),2015 | MT | BG2304AAY,Rp 8.970.000,8970000,15 Sep 2026,15 Sep 2026,,False,,https://www.ibid.astra.co.id/detail-lelang/motor/honda-sonic---150--2015---mt-/724977113254?entry_point=Product Listing,,2026-09-15T06:51:05,Lot 4 Grade D HONDA SONIC - 150 (2015 - MT) 2015 | MT | BG2304AAY Rp 8.970.000 15 Sep 2026 LAMPUNG LIVE
