series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
ojk_dpk.composition.giro,0000,Indonesia (national),2022-12-01,M,monthly,2546160.46282531,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2023-12-01,M,monthly,2662550.54974265,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2024-04-01,M,monthly,2684979.90690984,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2024-05-01,M,monthly,2729696.15029532,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2024-06-01,M,monthly,2740838.57561594,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2024-12-01,M,monthly,2751373.13699984,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2025-04-01,M,monthly,2846656.43360748,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2025-05-01,M,monthly,2881742.80166424,IDR billion
ojk_dpk.composition.giro,0000,Indonesia (national),2025-06-01,M,monthly,3024483.76622778,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2022-12-01,M,monthly,2992244.68071207,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2023-12-01,M,monthly,3126195.20067172,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2024-04-01,M,monthly,3251459.42494572,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2024-05-01,M,monthly,3262361.33576184,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2024-06-01,M,monthly,3235091.86846451,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2024-12-01,M,monthly,3235627.44767331,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2025-04-01,M,monthly,3318897.07288977,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2025-05-01,M,monthly,3337703.18064442,IDR billion
ojk_dpk.composition.simpanan_berjangka,0000,Indonesia (national),2025-06-01,M,monthly,3370610.87733471,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2022-12-01,M,monthly,2615184.76526875,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2023-12-01,M,monthly,2669183.3281379,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2024-04-01,M,monthly,2716574.43363987,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2024-05-01,M,monthly,2706645.90720575,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2024-06-01,M,monthly,2746104.45356635,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2024-12-01,M,monthly,2850241.67583544,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2025-04-01,M,monthly,2880986.66894303,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2025-05-01,M,monthly,2852599.51480908,IDR billion
ojk_dpk.composition.tabungan,0000,Indonesia (national),2025-06-01,M,monthly,2933901.10577181,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2022-12-01,M,monthly,8153589.90880612,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2023-12-01,M,monthly,8457929.07855227,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2024-04-01,M,monthly,8653013.76549543,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2024-05-01,M,monthly,8698703.39326292,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2024-06-01,M,monthly,8722034.8976468,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2024-12-01,M,monthly,8837242.2605086,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2025-04-01,M,monthly,9046540.17544029,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2025-05-01,M,monthly,9072045.49711774,IDR billion
ojk_dpk.composition.total,0000,Indonesia (national),2025-06-01,M,monthly,9328995.74933431,IDR billion
