series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
qris_transactions.value.off_us,0000,Indonesia (national),2023-03-01,Q,quarterly,10.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2023-06-01,Q,quarterly,14.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2023-09-01,Q,quarterly,16.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2023-12-01,Q,quarterly,28.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2024-03-01,Q,quarterly,35.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2024-06-01,Q,quarterly,45.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2024-09-01,Q,quarterly,58.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2024-12-01,Q,quarterly,70.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2025-03-01,Q,quarterly,90.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2025-06-01,Q,quarterly,97.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2025-09-01,Q,quarterly,114.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2025-12-01,Q,quarterly,150.0,IDR trillion
qris_transactions.value.off_us,0000,Indonesia (national),2026-03-01,Q,quarterly,180.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2023-03-01,Q,quarterly,13.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2023-06-01,Q,quarterly,17.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2023-09-01,Q,quarterly,20.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2023-12-01,Q,quarterly,34.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2024-03-01,Q,quarterly,42.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2024-06-01,Q,quarterly,52.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2024-09-01,Q,quarterly,66.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2024-12-01,Q,quarterly,82.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2025-03-01,Q,quarterly,104.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2025-06-01,Q,quarterly,110.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2025-09-01,Q,quarterly,128.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2025-12-01,Q,quarterly,170.0,IDR trillion
qris_transactions.value.total,0000,Indonesia (national),2026-03-01,Q,quarterly,203.0,IDR trillion
qris_transactions.volume.off_us,0000,Indonesia (national),2023-03-01,Q,quarterly,98.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2023-06-01,Q,quarterly,128.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2023-09-01,Q,quarterly,169.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2023-12-01,Q,quarterly,258.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2024-03-01,Q,quarterly,328.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2024-06-01,Q,quarterly,436.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2024-09-01,Q,quarterly,541.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2024-12-01,Q,quarterly,677.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2025-03-01,Q,quarterly,910.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2025-06-01,Q,quarterly,1071.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2025-09-01,Q,quarterly,1335.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2025-12-01,Q,quarterly,1657.0,million transactions
qris_transactions.volume.off_us,0000,Indonesia (national),2026-03-01,Q,quarterly,1915.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2023-03-01,Q,quarterly,125.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2023-06-01,Q,quarterly,155.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2023-09-01,Q,quarterly,201.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2023-12-01,Q,quarterly,301.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2024-03-01,Q,quarterly,374.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2024-06-01,Q,quarterly,494.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2024-09-01,Q,quarterly,619.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2024-12-01,Q,quarterly,779.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2025-03-01,Q,quarterly,1021.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2025-06-01,Q,quarterly,1192.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2025-09-01,Q,quarterly,1469.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2025-12-01,Q,quarterly,1847.0,million transactions
qris_transactions.volume.total,0000,Indonesia (national),2026-03-01,Q,quarterly,2118.0,million transactions
